Alpha,Average Profit
0.34,5064.998929839218
0.341,5094.196296318934
0.342,5098.1489750795145
0.343,5080.9353783438855
0.344,5122.354621194451
0.345,5156.429507346297
0.346,5120.519460862265
0.347,5126.9926432816665
0.348,5099.34871334197
0.349,5117.324071344466
0.35,5121.694463698244
0.351,5094.353240270285
0.352,5120.101633351977
0.353,5096.835843224781
0.354,5093.6735831242495
0.355,5069.570343364794
0.356,5114.242293029685
0.357,5157.908553515537
0.358,5089.091843473553
0.359,5112.449282580272
