Alpha,Average Profit
0.0,4483.485141395477
0.005,4545.63211406203
0.01,4542.5370290876945
0.015,4539.856341634455
0.02,4516.784242434125
0.025,4468.252828484941
0.03,4539.82966302774
0.035,4529.991728846123
0.04,4493.9585177859935
0.045,4501.549145066996
0.05,4486.471900135785
0.055,4481.926264294115
0.06,4549.6274876989455
0.065,4557.185774788015
0.07,4482.943044151556
0.075,4496.302917521297
0.08,4524.944013108494
0.085,4522.464891987551
0.09,4517.019425257334
0.095,4518.281816285559
0.1,4534.470886854653
0.105,4450.053396815396
0.11,4555.9121093154135
0.115,4542.4029134809125
0.12,4481.098405676853
0.125,4425.916881850235
0.13,4509.713773518085
0.135,4495.845675901256
0.14,4476.826088570977
0.145,4535.549273988097
0.15,4506.124260488375
0.155,4475.983655852214
0.16,4484.586236367535
0.165,4502.394701132308
0.17,4502.715750356381
0.175,4544.32422477137
0.18,4506.564409961034
0.185,4526.084464243054
0.19,4528.590548489356
0.195,4578.498298008115
0.2,4537.430635129013
0.205,4516.255300594566
0.21,4575.166351224216
0.215,4518.570602953267
0.22,4540.070289933786
0.225,4554.08596590766
0.23,4488.194244787167
0.235,4477.836382740996
0.24,4494.132508559902
0.245,4529.4028354747215
0.25,4518.3171985935405
0.255,4476.634674472266
0.26,4550.740278325661
0.265,4489.462307933486
0.27,4514.893548760589
0.275,4484.294947799376
0.28,4538.753925945071
0.285,4486.744234923349
0.29,4543.339264547598
0.295,4485.400024150304
0.3,4485.891246001123
0.305,4471.721908535911
0.31,4510.3199633694085
0.315,4496.640601762137
0.32,4543.109932681184
0.325,4523.05178257731
0.33,4495.95389110712
0.335,4480.81759943427
0.34,4531.2877078123975
0.345,4516.443854908655
0.35,4510.171569413643
0.355,4500.586859069767
0.36,4502.686212827848
0.365,4486.056371634516
0.37,4535.131322556898
0.375,4503.961087924721
0.38,4458.7313660506825
0.385,4510.778922883574
0.39,4507.049426665006
0.395,4551.167161951587
0.4,4517.091996395157
0.405,4513.755089646237
0.41,4508.718420299847
0.415,4502.616947671794
0.42,4466.537150284969
0.425,4482.991280396102
0.43,4452.3012321649085
0.435,4504.970358744695
0.44,4485.718559830259
0.445,4490.766409272821
0.45,4466.453369973931
0.455,4439.932490851275
0.46,4570.851664487389
0.465,4481.856408513118
0.47,4500.060879427119
0.475,4500.107642032359
0.48,4521.123756932655
0.485,4448.859317904987
0.49,4505.49031031521
0.495,4536.256739474922
0.5,4484.600302640031
0.505,4495.48519948117
0.51,4424.366409704787
0.515,4488.688914784281
0.52,4483.578457174626
0.525,4510.283703472224
0.53,4489.6713236362
0.535,4486.456723955367
0.54,4467.7203458015965
0.545,4463.935750921329
0.55,4516.116060837562
0.555,4482.925959840919
0.56,4540.008447907011
0.565,4499.257167206979
0.57,4511.623059181728
0.575,4496.626319689054
0.58,4428.059852471205
0.585,4470.7064314767495
0.59,4507.968407869185
0.595,4477.356660269931
0.6,4448.680230716383
0.605,4463.165175345769
0.61,4512.483635362127
0.615,4466.63160758873
0.62,4429.082226082388
0.625,4478.865901741079
0.63,4458.6302593947075
0.635,4486.134953906815
0.64,4475.5745764488265
0.645,4493.602699883479
0.65,4487.563741079618
0.655,4476.539652738671
0.66,4500.236979509191
0.665,4523.071653811155
0.67,4496.204551099308
0.675,4432.0441715541165
0.68,4510.669639160999
0.685,4462.655567044799
0.69,4497.181719005233
0.695,4484.022787365153
0.7,4459.2513032923525
0.705,4452.745184675804
0.71,4522.542192986309
0.715,4478.821487172061
0.72,4430.023410897356
0.725,4444.503818428009
0.73,4437.350887154789
0.735,4474.266969457483
0.74,4500.057302220381
0.745,4471.337997508419
0.75,4452.864144498964
0.755,4505.4419271424795
0.76,4444.813492681117
0.765,4462.529526911431
0.77,4435.5796082834095
0.775,4462.868046916149
0.78,4459.157734376428
0.785,4485.220819023045
0.79,4441.435741825827
0.795,4463.834833289222
0.8,4450.340088420159
0.805,4511.199729178736
0.81,4489.930331281928
0.815,4435.747697749434
0.82,4503.975068199756
0.825,4459.280805897411
0.83,4474.238755261427
0.835,4488.220261208254
0.84,4456.086708797118
0.845,4444.567106008029
0.85,4507.113959621459
0.855,4454.169677924819
0.86,4465.225996440722
0.865,4480.355537343752
0.87,4470.089454931779
0.875,4434.554200935228
0.88,4442.043046109883
0.885,4485.006904907771
0.89,4489.001897336378
0.895,4445.519409526991
0.9,4476.180652720539
0.905,4463.346990162761
0.91,4462.936607411446
0.915,4454.7336348561885
0.92,4502.733822076679
0.925,4422.663516632307
0.93,4481.119440540633
0.935,4449.758299381961
0.94,4435.727522806559
0.945,4468.97282134171
0.95,4489.949960598981
0.955,4450.208296647069
0.96,4470.216478920696
0.965,4382.509614812282
0.97,4468.245908967039
0.975,4503.2217435259745
0.98,4440.044204177479
0.985,4414.798128228413
0.99,4425.689167194757
0.995,4380.1800261497465
